Combos Taken,Mean Square Error,Absolute Error
"H-Index, Total Docs(2017), Total Refs, Cites/Doc(2 Years)",0.12732549565575674,0.22430367955799538
"H-Index, Total Docs(2017), Total Refs, Cites/Doc(2 Years), Ref/Doc",0.11909011002065713,0.21401186120044224
"H-Index, Total Docs(2017), Total Refs, Citable Docs(3 Years)",1.2723462749274725,1.0215565178269748
"H-Index, Total Docs(2017), Total Refs, Citable Docs(3 Years), Ref/Doc",1.2337050387545145,0.9548592820379753
"H-Index, Total Docs(2017), Total Refs, Citable Docs(3 Years), Cites/Doc(2 Years)",0.1263970763945156,0.22489578790451176
"H-Index, Total Docs(2017), Total Refs, Citable Docs(3 Years), Cites/Doc(2 Years), Ref/Doc",0.1185769957816317,0.21463509186310123
"H-Index, Total Docs(2017), Total Refs, Total Cites(3 Years)",1.5248875262005233,1.1612122715515647
"H-Index, Total Docs(2017), Total Refs, Total Cites(3 Years), Ref/Doc",1.3529543848428855,1.049194263720704
"H-Index, Total Docs(2017), Total Refs, Total Cites(3 Years), Cites/Doc(2 Years)",0.12368418588365465,0.2200889240608849
"H-Index, Total Docs(2017), Total Refs, Total Cites(3 Years), Cites/Doc(2 Years), Ref/Doc",0.11740217574381866,0.21397515283935747
"H-Index, Total Docs(2017), Total Refs, Total Cites(3 Years), Citable Docs(3 Years)",1.8051211361265889,1.2007887927499454
"H-Index, Total Docs(2017), Total Refs, Total Cites(3 Years), Citable Docs(3 Years), Ref/Doc",1.628548266401724,1.1131563492738956
"H-Index, Total Docs(2017), Total Refs, Total Cites(3 Years), Citable Docs(3 Years), Cites/Doc(2 Years)",0.1242265578547777,0.22026874295996504
"H-Index, Total Docs(2017), Total Refs, Total Cites(3 Years), Citable Docs(3 Years), Cites/Doc(2 Years), Ref/Doc",0.11803098813774188,0.21467948245311272
"H-Index, Total Docs(2017), Total Docs(3 Years)",1.3248004770224397,1.0479531465274388
"H-Index, Total Docs(2017), Total Docs(3 Years), Ref/Doc",1.227467727562273,0.9578654564058926
"H-Index, Total Docs(2017), Total Docs(3 Years), Cites/Doc(2 Years)",0.12575474527914438,0.22255934927528745
"H-Index, Total Docs(2017), Total Docs(3 Years), Cites/Doc(2 Years), Ref/Doc",0.11853881190937011,0.21498422121773708
"H-Index, Total Docs(2017), Total Docs(3 Years), Citable Docs(3 Years)",1.3623632511932773,1.0415497623609984
"H-Index, Total Docs(2017), Total Docs(3 Years), Citable Docs(3 Years), Ref/Doc",1.2637681992693672,0.9384568325539755
"H-Index, Total Docs(2017), Total Docs(3 Years), Citable Docs(3 Years), Cites/Doc(2 Years)",0.1288755376284836,0.22547935388477935
"H-Index, Total Docs(2017), Total Docs(3 Years), Citable Docs(3 Years), Cites/Doc(2 Years), Ref/Doc",0.1216758912279629,0.21755128527665493
"H-Index, Total Docs(2017), Total Docs(3 Years), Total Cites(3 Years)",1.6705260001231557,1.175431673499328
"H-Index, Total Docs(2017), Total Docs(3 Years), Total Cites(3 Years), Ref/Doc",1.5990901161673075,1.1102747869001317
"H-Index, Total Docs(2017), Total Docs(3 Years), Total Cites(3 Years), Cites/Doc(2 Years)",0.12484778407365844,0.2218364580601934
"H-Index, Total Docs(2017), Total Docs(3 Years), Total Cites(3 Years), Cites/Doc(2 Years), Ref/Doc",0.11753805557199132,0.21391423800157722
"H-Index, Total Docs(2017), Total Docs(3 Years), Total Cites(3 Years), Citable Docs(3 Years)",1.6471325129788696,1.1668743884286052
"H-Index, Total Docs(2017), Total Docs(3 Years), Total Cites(3 Years), Citable Docs(3 Years), Ref/Doc",1.5681011150266078,1.0884663518628663
"H-Index, Total Docs(2017), Total Docs(3 Years), Total Cites(3 Years), Citable Docs(3 Years), Cites/Doc(2 Years)",0.12788146656113697,0.2247920632512731
"H-Index, Total Docs(2017), Total Docs(3 Years), Total Cites(3 Years), Citable Docs(3 Years), Cites/Doc(2 Years), Ref/Doc",0.12095176070231128,0.21666191971997922
"H-Index, Total Docs(2017), Total Docs(3 Years), Total Refs",1.277970933276841,1.0255974332098459
"H-Index, Total Docs(2017), Total Docs(3 Years), Total Refs, Ref/Doc",1.2361135385145847,0.9590020851393802
"H-Index, Total Docs(2017), Total Docs(3 Years), Total Refs, Cites/Doc(2 Years)",0.12628440573855926,0.2252978909379615
"H-Index, Total Docs(2017), Total Docs(3 Years), Total Refs, Cites/Doc(2 Years), Ref/Doc",0.11859468384420117,0.2151657913052604
"H-Index, Total Docs(2017), Total Docs(3 Years), Total Refs, Citable Docs(3 Years)",1.2867145088821312,1.0148292246918922
"H-Index, Total Docs(2017), Total Docs(3 Years), Total Refs, Citable Docs(3 Years), Ref/Doc",1.2640735256928501,0.9384893608224091
"H-Index, Total Docs(2017), Total Docs(3 Years), Total Refs, Citable Docs(3 Years), Cites/Doc(2 Years)",0.1294710004997695,0.22681361843366785
"H-Index, Total Docs(2017), Total Docs(3 Years), Total Refs, Citable Docs(3 Years), Cites/Doc(2 Years), Ref/Doc",0.12158553942762074,0.21734109858029305
